"Nid","School code","School name","Location","Country","Intl GPA","US GPA","Notes"
"380","","DEFAULT Argetina","","Argentina","10/9/7.5/6","4.0/3.6/3.0/2.0","General USA Equivalence: A=9.0-10, B=7.5-8.9, C=6.0-7.4, D=4.0-5.9"
"4","7211413","Australian National University","Canberra","Australia","100/80/70/60","4.0/3.6/3.0/2.0","High Distinction = 80-100; Distinction = 70-79; Credit = 60-69; Pass = 50-59"
"391","S135987","Monash University","Melbourne, Victoria","Australia","100/80/70/60","4.0/3.6/3.0/2.0","High Distinction = 80-100; Distinction = 70-79; Credit = 60-69; Pass = 50-59"
"395","S131001","The University of New South Wales","Sydney","Australia","100/85/75/65","4.0/3.6/3.0/2.0","High Distinction = 85-100; Distinction = 75-84; Credit = 65-74; Pass = 50-64"
"428","","The University of Queensland","Queensland","Australia","7/6/5/4/3","4.0/3.0/2.0/1.0/0","7 = High Distinction, 6 = Distinction, 5 = Credit, 4 = Pass, 3 = Fail"
"330","7221002","University of Melbourne","Melbourne","Australia","100/80/75/70/65","4.0/3.6/3.0/2.0/1.0","80-100%= First Class Honours; 75- 79%= Second Class Honours, Division A; 70- 74%= Second Class Honours, Division B; 65-69%= Third Class Honours"
"398","","University Of Sydney","Sydney","Australia","100/85/75/65","4.0/3.6/3.0/2.0","High Distinction = 85 and over; Distinction = 75-84; Credit = 65-74; Pass = 50-64"
"345","","Johannes Kepler University Linz","Linz","Austria","1/2/3/4","4.0/3.0/2.0/1.0","1 = Sehr Gut/A, 2 = Gut/B, 3 = Befriedigend/C, 4 = Genugend/D"
"5","","Qafqaz University","","Azerbaijan","100/85/65/50","4.0/3.6/3.0/2.0","Excellent = 85-100; Good = 65-84; Satisfactory = 50-64"
"6","7211821","Bangladesh University of Engineering and Technology, Dhaka","","Bangladesh","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA."
"396","","DEFAULT Bangladesh","","Bangladesh","100/60/45/33","4.0/3.6/3.0/2.0",""
"7","","Rajshahi University of Engineering and Technology - 4.0 Scale","","Bangladesh","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA."
"8","","Rajshahi University of Engineering and Technology - Percentages","","Bangladesh","100/70/65/60/55/50/45","4.0/3.6/3.3/3.0/2.7/2.3/2.0",""
"474","","DEFAULT Belgium - 100-point scale","","Belgium","100/90/80/70/60","4.0/3.7/3.3/3.0/2.0","90-100=A+, 80-89=A, 70-79=B, 60-69=C"
"417","","DEFAULT Belgium - 20-point scale","","Belgium","20/18/16/14/12/10","4.0/3.7/3.3/3.0/2.0/1.7","18-20=A+, 16-17.99=A, 14-15.99=B, 12-13.99=C"
"376","","DEFAULT Brazil","","Brazil","10/9/8/7/6/5","4.0/3.6/3.3/3.0/2.5/2.0","9-10 = A; 7-8.9 = B; 5-6.9 = C"
"9","9802601","DEFAULT Canada","","Canada","100/80/65/55","4.0/3.6/3.0/2.0",""
"439","","McMaster University","Hamilton, ON","Canada","12/11/10/9/8/7/6","4.0/3.8/3.6/3.3/3.0/2.7/2.3",""
"10","","The University of British Columbia - Letter Grades","","Canada","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"11","","The University of British Columbia - Percentages Only","","Canada","100/85/80/76/72/68/64/60","4.0/3.85/3.7/3.3/3.0/2.7/2.3/2.0","A+ = 90-100; A = 85-89; A- = 80-84; B+ = 76-79; B = 72-75; B- = 68-71; C+ = 64-67; C = 60-63"
"12","7110091","University of Alberta - After 2003","","Canada","4.0/3.7/3.3/3.0/2.7/2.3/2.0","4.0/3.7/3.3/3.0/2.7/2.3/2.0","Check to see if scale matches US 4.0 scale. If so, it is OK to use that school's 4.0 CGPA"
"420","","York University","Toronto","Canada","9/8/7/6/5/4/3/2","4.0/3.7/3.3/3.0/2.7/2.5/2.0/1.7",""
"13","9802701","DEFAULT Chile","","Chile","7/6/5/4","4.0/3.6/3.0/2.0",""
"14","7223404","Pontifical Catholic University of Chile/Pontificia Universidad Catolica de Chile","Santiago","Chile","10/7/6/5/4","4.0/3.6/3.3/3.0/2.0","Outstanding = 7; Very Good = 6; Good = 5; Sufficient = 4"
"15","7211916","Beihang University","Beijing","China","100/85/70/60","4.0/3.6/3.0/2.0","A = 85-100; B = 70-84; C = 60-69; F = 0-59"
